# reviewed_sources=762
# selected_unique=192
# extra_floor_or_ground=81
# too_small_or_sparse=76
# not_clear_object_or_structure=61
# Criteria: source.png visual review; clear object-integrated pedestals/foundations are allowed.
scene_id	reasons
scene_001678	extra_floor_or_ground,too_small_or_sparse
scene_001679	extra_floor_or_ground
scene_001681	extra_floor_or_ground
scene_001695	too_small_or_sparse,not_clear_object_or_structure
scene_001696	not_clear_object_or_structure
scene_001697	extra_floor_or_ground
scene_001700	too_small_or_sparse,not_clear_object_or_structure
scene_001751	extra_floor_or_ground
scene_001752	extra_floor_or_ground,too_small_or_sparse
scene_001765	too_small_or_sparse
scene_001768	too_small_or_sparse
scene_001774	extra_floor_or_ground
scene_001776	not_clear_object_or_structure
scene_001777	extra_floor_or_ground
scene_001786	too_small_or_sparse,not_clear_object_or_structure
scene_001791	extra_floor_or_ground
scene_001796	extra_floor_or_ground
scene_001798	extra_floor_or_ground
scene_001813	too_small_or_sparse
scene_001819	not_clear_object_or_structure
scene_001830	extra_floor_or_ground,not_clear_object_or_structure
scene_001831	extra_floor_or_ground,too_small_or_sparse
scene_001838	extra_floor_or_ground
scene_001840	extra_floor_or_ground,not_clear_object_or_structure
scene_001842	extra_floor_or_ground
scene_001843	extra_floor_or_ground
scene_001848	too_small_or_sparse
scene_001849	too_small_or_sparse
scene_001861	not_clear_object_or_structure
scene_001863	too_small_or_sparse
scene_001865	not_clear_object_or_structure
scene_001869	not_clear_object_or_structure
scene_001873	not_clear_object_or_structure
scene_001877	too_small_or_sparse
scene_001879	too_small_or_sparse,not_clear_object_or_structure
scene_001880	not_clear_object_or_structure
scene_001881	too_small_or_sparse
scene_001887	too_small_or_sparse
scene_001889	extra_floor_or_ground
scene_001890	extra_floor_or_ground
scene_001901	too_small_or_sparse,not_clear_object_or_structure
scene_001906	too_small_or_sparse
scene_001907	extra_floor_or_ground
scene_001912	too_small_or_sparse
scene_001913	not_clear_object_or_structure
scene_001917	not_clear_object_or_structure
scene_001919	extra_floor_or_ground
scene_001922	not_clear_object_or_structure
scene_001932	not_clear_object_or_structure
scene_001933	too_small_or_sparse
scene_001934	extra_floor_or_ground
scene_001935	extra_floor_or_ground
scene_001937	extra_floor_or_ground
